Channel Name,Channel ID,Category
BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,음악/댄스
BANGTANTV,UCLkAepWjdylmXSltofFvsYQ,음악/댄스
HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,음악/댄스
김프로KIMPRO,UCiVs2pnGW5mLIc1jS2nxhjg,엔터테인먼트
DONA 도나,UCTheFErn4MureanSiqgKIag,키즈
SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,음악/댄스
Boram Tube Vlog [보람튜브 브이로그],UCU2zNeYhf9pi_wSqFbYE96w,키즈
JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,음악/댄스
ToyPuddingTV,UCKqx9r4mrFglauNBJc1L_eg,키즈
1MILLION Dance Studio,UCw8ZhLPdQ0u_Y-TLKd61hGA,음악/댄스
승비니 Seungbini,UCPhHBEtG6dVZ5fJKoNArcJw,취미
1theK (원더케이),UCweOkPb1wVVH0Q0Tlj4a5Pw,음악/댄스
Mnet K-POP,UCbD8EppRX3ZwJSou-TVo90A,음악/댄스
Pentatonix,UCmv1CLT6ZcFdTJMHxaR9XeA,음악/댄스
KBS WORLD TV,UC5BMQOsAB8hKUyHu9KI6yig,엔터테인먼트
Apple,UCE_M8A5yxnLfW0KghEeajjw,정부/기관/비영리
Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,IT/기술/과학
Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,푸드/쿠킹
GMMTV OFFICIAL​​,UC8BzJM6_VbZTdiNLD4R1jxQ,엔터테인먼트
Queen Official,UCiMhD4jzUqG-IgPzUmmytRQ,음악/댄스
With Kids[위드키즈],UC6ye474SJCiPsEPueO_b3Gw,키즈
TWICE,UCzgxx_DM2Dcb9Y1spb9mUJA,음악/댄스
JFlaMusic,UClkRzsdvg7_RKVhwDwiDZOA,음악/댄스
Hongyu ASMR 홍유,UCxtLc0Jqq3SKBWlIXM_OC9g,푸드/쿠킹
Live,UC4R8DWoMoI7CAwX8_LjQHig,교육/강의
CrashCourse,UCX6b17PVsYBQ0ip5gyeme-Q,라이프스타일
PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,IT/기술/과학
BIGBANG,UCzw-C7fNfs018R1FzIKnlaA,음악/댄스
Quantum Tech HD,UC4Tklxku1yPcRIH0VVCKoeA,엔터테인먼트
Martin Garrix,UC5H_KXkPbEsGs0tFt8R35mA,IT/기술/과학
BIBO와 장난감,UCL4r3zHKJpcJ0jEYSbobk1Q,키즈
Boram Tube ToysReview [보람튜브 토이리뷰],UC3pnQ7MHDABUFungNcMQ7dA,키즈
설기양SULGI,UCIafb9ExBkh4WsCOagZssZA,푸드/쿠킹
Lofi Girl,UCSJ4gkVC6NrvII8umztf0Ow,음악/댄스
서은일상이야기,UCraaN4FiNe7l3F4XR6s246A,키즈
SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,음악/댄스
블라드와 니키타,UC-oIulX1JBJ0aKAB0GHnThA,키즈
GONGSAM TABLE 이공삼,UC2B5onlYkZ7IaVekR9yIB6w,푸드/쿠킹
[햄지]Hamzy,UCPKNKldggioffXPkSmjs5lQ,푸드/쿠킹
BigMarvel The Simulator,UCgI8VzlDGsHCp0-9Een1eKw,음악/댄스
Google,UCK8sQmJBp8GCxrOtXWBpyEA,교육/강의
TOMORROW X TOGETHER OFFICIAL,UCtiObj3CsEAdNU6ZPWDsddQ,음악/댄스
JENNIE,UCNYi_zGmR519r5gYdOKLTjQ,인물/유명인
핑크퐁 (인기 동요・동화),UCqXwKu6dKobXEQFhdKtiJLQ,키즈
Cut,UCbaGn5VkOVlcRgIWAHcrJKA,엔터테인먼트
Lilifilm Official,UC35HKvKYPkri4Grd5KXl3wQ,음악/댄스
Boram Tube Stories,UC3WkVi7bn8-fb_HXUEGEcOQ,키즈
보겸TV,UCu9BCtGIEr73LXZsKmoujKw,게임
쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,푸드/쿠킹
DuDuPopTOY,UCByBXiL8TC7atFvIuNC95Hg,취미
Tayo the Little Bus,UC9CsZoTaHZqZjnNZv7v3T1g,영화/애니메이션
Boram Tube Funny,UCfGqw7BFixnmDLMHhy9tZ7Q,키즈
MBCkpop,UCe52oeb7Xv_KaJsEzcKXJJg,음악/댄스
토이몽 TV - ToyMong Tv,UC0vDCy8moGUhR7kRL19wWpw,취미
Stone Music Entertainment,UC_pwIXKXNm5KGhdEVzmY60A,음악/댄스
tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,푸드/쿠킹
Baby Shark Official,UCNVE4szbMrOZk9IheX8vHbQ,키즈
AsapSCIENCE,UCC552Sd-3nyi_tk2BudLUzA,라이프스타일
TwinRoozi 쌍둥이 루지,UCMa-5a4Hg3KnbiDOvhdfb3w,키즈
Boram Tube Show,UCZ4naQ_clEXWBSjHP11bgAQ,키즈
Larva TUBA,UCph-WGR0oCbJDpaWmNHb5zg,키즈
SIO ASMR,UCRtoqRleHkDQRVgN9OwV6TA,푸드/쿠킹
M2,UCTQVIXvcHrR9jYoJ6qaBAow,엔터테인먼트
NPR Music,UC4eYXhJI4-7wSWc8UNRwD4A,음악/댄스
문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,푸드/쿠킹
SnoopDoggTV,UC-OO324clObi3H-U0bP77dw,음악/댄스
NFrealmusic,UCoRR6OLuIZ2-5VxtnQIaN2w,음악/댄스
이지금 [IU Official],UC3SyT4_WLHzN7JmHQwKQZww,엔터테인먼트
Hillsong Worship,UC4q12NoPNySbVqwpw4iO5Vg,음악/댄스
EXO,UCzCedBCSSltI1TFd3bKyN6g,음악/댄스
Boram Tube Play,UCiNRSIR9eICh9A4hNBtpIyw,키즈
Boram Tube [宝蓝和朋友们],UCJedRe-OQCN-75DhLmG3VPQ,키즈
ITZY,UCDhM2k2Cua-JdobAh5moMFg,인물/유명인
서은이야기[SeoeunStory],UCVihezVtsguXEouYvtKmKYA,키즈
DONA Việt Nam,UCls0IZ-aIFDTBBrSOPsbyng,키즈
Mnet TV,UCepUWUpH45hRTi-QePdq1Bg,음악/댄스
MBCentertainment,UCiBr0bK06imaMbLc8sAEz0A,엔터테인먼트
KBS Kpop,UCeLPm9yH_a_QH8n6445G-Ow,음악/댄스
Jin and Hattie,UC497tVZykgrFrJvDXdI_-SA,라이프스타일
(G)I-DLE (여자)아이들 (Official YouTube Channel),UCritGVo7pLJLUS8wEu32vow,인물/유명인
iKON,UCWxCyZibDIWIrGIgP25mbfw,음악/댄스
Toy For Kids [토이포키즈],UCeZQXIvIl3Nt53JhP9bv-LA,키즈
腾讯视频 - Get the WeTV APP,UCQatgKoA7lylp_UzvsLCgcw,음악/댄스
Flashback FM,UC-GAhNmY6bkuuRPUSaRI_oQ,IT/기술/과학
소맥거핀,UCaaZFxjlHI3T_I-uFbldIGA,영화/애니메이션
SBSKPOP X INKIGAYO,UCS_hnpJLQTvBkqALgapi_4g,음악/댄스
YG ENTERTAINMENT,UCQi67q4kGdmnJaRzX81uK5g,음악/댄스
미니특공대TV,UCx4IY_sYVTL6RQu30Cprm8A,영화/애니메이션
5SOS,UC-vKwDHcbPLtjml81ohGRng,음악/댄스
JTBC Entertainment,UCFL1sCAksD6_7JIZwwHcwjQ,엔터테인먼트
NewJeans,UCMki_UkHb4qSc0qyEcOHHJw,음악/댄스
YouTube Creators,UCkRfArvrzheW2E7b6SVT7vQ,라이프스타일
ElectroBOOM,UCJ0-OtVpF0wOKEqT2Z1HEtA,IT/기술/과학
야미보이 Yummyboy,UCiiV8stcewhoCNyiErr7GtA,푸드/쿠킹
MariAndKids,UCPGFLUUESbnhkOTpIt71Awg,키즈
TREASURE (트레저),UCx9hXYOCvUYwrprEqe4ZQHA,라이프스타일
SunnydahyeIn,UCO5p-c9u1-fi3E6EeRQKJig,라이프스타일
Passenger,UCFHtCB_FWXQ8GpjgfYcD8-g,음악/댄스
Boram Tube PRT,UCKwdrlLDx6A4RVXbdMKNk5w,키즈
5 분 Tricks,UC03jtg6Imz882ZCPnB7bZ0w,푸드/쿠킹
tvN DRAMA,UC9w-h_ciMmX64TcLRcb1xPg,엔터테인먼트
SonicToy소닉토이,UC2NvqL2gbWQXbfnLN7C9XFg,키즈
Sungha Jung,UCjWRi2qaGtKjQyoQLc4OGkw,음악/댄스
SBS Entertainment,UCmjNKt6kITwaZTqvWuaSPLg,엔터테인먼트
Samsung,UCWwgaK7x0_FR1goeSRazfsQ,IT/기술/과학
MAMAMOO,UCuhAUMLzJxlP1W7mEk0_6lA,음악/댄스
ALL THE K-POP,UCPde4guD9yFBRzkxk2PatoA,음악/댄스
SBS Drama,UC6erIDuvbOaAO-OT5rB2Xew,엔터테인먼트
NCT DREAM,UCXURHJRGr4-EB3l87kcbElw,음악/댄스
Sabins Civil Engineering,UCqZQJ4600a9wIfMPbYc60OQ,교육/강의
With Kids Playground [위드키즈 놀이터],UCnHCaT79--qqZKBSWoJq_NA,키즈
백종원 PAIK JONG WON,UCyn-K7rZLXjGl7VXGweIlcA,푸드/쿠킹
[장난감티비]TOYTV,UCtzr07Iifce7-48Kw1phdzg,키즈
채널십오야,UCQ2O-iftmnlfrBuNsUUTofQ,엔터테인먼트
aespa,UC9GtSLeksfK4yuJ_g1lgQbg,인물/유명인
미니팡TV,UCDuoZoikGpBAlX4BZBDdGtw,게임
위드키즈 토이즈 [With Kids Toys],UCURffR0e_FPKnDuzQ0XyWhw,키즈
Maangchi,UC8gFadPgK2r1ndqLI04Xvvw,인물/유명인
STARSHIP,UCYDmx2Sfpnaxg488yBpZIGg,음악/댄스
베이비버스 -인기 동요・동화,UCscjd-azZ1AqHxxrO6YDIQg,키즈
NCT,UCwgtORdDtUKhpjE1VBv6XfA,인물/유명인
GOT7,UC8HEl74jL3bLLwfDP1OALxw,음악/댄스
영국남자 Korean Englishman,UCg-p3lQIqmhh7gHpyaOmOiQ,인물/유명인
MayTree,UC3mY2SKYhPjqImtBBXsR6_Q,음악/댄스
Bob Ross,UCxcnsr1R5Ge_fbTu5ajt8DQ,취미
Peter McKinnon,UC3DkFux8Iv-aYnTRWzwaiBA,뉴스/정치/이슈
PONY Syndrome,UCT-_4GqC-yLY1xtTHhwY0hA,뷰티/패션
2NE1,UCnsQjCVzmEd-YvlQZbo6zCg,음악/댄스
뽀로로(Pororo),UCPUeGC_AL-OnDQORKhRm6iA,키즈
PinkyPopTOY,UCUf7BpZJOP4YnfF2iVDt-_Q,키즈
DONA Indonesia,UCagQiL8IQ2TChmExU8qWkbQ,키즈
푸메Fume,UCbzI92w5vWa6mEj1dACfy6g,푸드/쿠킹
투자의 신 찬스,UCO0C5PcdX9a52nfHexhmYqw,경제/금융/재테크
SBS,UCcOYEm78CpaZQvPE6LtoSeA,엔터테인먼트
NCT 127,UCk2E0dbAyEJWnrN2bbQOcbg,인물/유명인
BGM channel,UCQINXHZqCU5i06HzxRkujfg,푸드/쿠킹
ASAPROCKYUPTOWN,UC0KAFLxIiaR_FFNYDL3utGw,음악/댄스
KBS Entertain,UCK1sVuXaDvJeNwl9noN5nOA,엔터테인먼트
스위트티비 SweetTV,UCnCXqo9jcQaHjW0iZM7tPOQ,키즈
Red Velvet,UCk9GmdlDTBfgGRb7vXeRMoQ,엔터테인먼트
Lala and Lulu,UCXckXSwBPzOtbBZ1mDuNJSg,키즈
HIU 하이유,UCw-QmownJwilhTje10TYlIg,푸드/쿠킹
콩순이 Kongsuni,UC3sCmmMaM383cjv1jNdiU2w,키즈
STUDIO CHOOM [스튜디오 춤],UCEIi7zFR_wE23jFncVtd6-A,음악/댄스
Jaeguchi,UCmth4hMyizG-_W9jidBqs_A,음악/댄스
ASTRO 아스트로,UCZqY2yIsAM9wh3vvMwKd27g,라이프스타일
Bree Animation,UCnfeLB3sMd71ugraoLrH_aw,키즈
Bethel Music,UCbertc-gMbkkHuSmg0qwnxw,음악/댄스
BT21,UCINr5W7cwW06ADtsszAToAw,영화/애니메이션
Kritter Klub,UC6zbH1Z4G32bBV9wyK6ikPA,엔터테인먼트
매일맛나 delicious day,UCFiYPUhUzLKoi-cZ0AwpjLA,푸드/쿠킹
Pororo the Little Penguin,UCAmia3u27mHY-Y6c-lwakAQ,영화/애니메이션
행복지수 103%,UCRE-097LGtx_Zo7LrHvkycA,인물/유명인
ABBA,UCYPs4y5esNqx6ax1CxZws6Q,정부/기관/비영리
CoCosToy 꼬꼬스토이,UCfVd4ZgG0hwe3F0cqRTvUWQ,키즈
MBCdrama,UC7lb15P-Hux7A5gBuhCxtuQ,엔터테인먼트
떵개떵,UC-i2ywiuvjvpTy2zW-tXfkw,푸드/쿠킹
딩고 뮤직 / dingo music,UCtCiO5t2voB14CmZKTkIzPQ,음악/댄스
Cooking tree 쿠킹트리,UCtby6rJtBGgUm-2oD_E7bzw,푸드/쿠킹
DONA English,UC7jo3cJYMDXbEbHUNw2h7aA,키즈
[Awesome Haeun]어썸하은,UCcpAtOvcne_cX7gvarTgKsQ,음악/댄스
JaeYeol ASMR 재열,UCg7xkCKcxA84xSTGgtF9ySA,취미
tvN D ENT,UCsRIHt5FkbGc6cQtCxt-ufA,엔터테인먼트
DONA JP [ドナ日本語],UC6dk7FfH74QAmSFzxjpCLtA,키즈
"까니짱 [ KANI, 蟹ちゃん]",UC2wZJuuD_WA9ps2FORco1EQ,푸드/쿠킹
스마일밤 Smile Bam,UCKo9E6a6-E40CC6OdSbvcdA,뷰티/패션
식탁일기 table diary,UCemFUqq5jad1f258HrPS5rg,푸드/쿠킹
Audio Library — Music for content creators,UCht8qITGkBvXKsR1Byln-wA,IT/기술/과학
SBS TV동물농장x애니멀봐,UC22go5LdQEw-iDuxFb4C0hw,동물/펫
ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,IT/기술/과학
푸드킹덤 Food Kingdom,UC4BfinFCS1o6t1tAsl0RVWQ,푸드/쿠킹
JTBC Drama,UCkbJc8jMcTXwhtmN5VMwfXg,엔터테인먼트
봉길이 Bonggil,UCHQnFdxn3kqIzx4yLENS-Iw,푸드/쿠킹
MiniforceTV,UCmElsfgN0WY4ycwKHKWbTyg,영화/애니메이션
MBCNEWS,UCF4Wxdo3inmxP-Y59wXDsFw,뉴스/정치/이슈
ToyMart TV,UCbWPYsyJX1-7uvfOw3LkLqw,키즈
